experiment_id,model,run_id,coop_value,risk_value,replication,extraction_amount,declared_max,extraction_fraction,justification
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep1,0.2,0.2,1,9.5000,11.0000,0.863636,"Havuz tam dolu ve yenilenme oranı güçlü. Ancak uzun vadeli sürdürülebilirliği fazla gözetmeksizin, kısa vadeli kazancı ön planda tutarak yüksekçe bir çekim yapıyorum. Havuzun çökmemesi için sınırın biraz altında kalıyorum ama işbirliğine fazla yatırım yapmıyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep2,0.2,0.2,2,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Ancak uzun vadeli sürdürülebilirliği fazla gözetmeksizin kendi payımı maksimize etmeye yakın bir strateji izliyorum. Havuzun çökmemesi için sınırın biraz altında kalıyorum, fakat kişisel kazancı ön planda tutuyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep3,0.2,0.2,3,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Kısa vadeli kazanımı artırmak için maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak önceliğim."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep4,0.2,0.2,4,9.5000,12.0000,0.791667,Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazanımı önemseyen bir yaklaşımla maksimuma yakın ama tam maksimum değil bir miktar çekiyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin kendi payımı güvence altına almak istiyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep5,0.2,0.2,5,9.5000,12.0000,0.791667,"Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazanımı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak mantıklı görünüyor."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep6,0.2,0.2,6,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Kısa vadeli kazanımı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak mantıklı görünüyor."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep7,0.2,0.2,7,9.5000,12.0000,0.791667,"Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazancı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak istiyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep8,0.2,0.2,8,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Kısa vadeli kazanç için maksimuma yakın bir çekim yapıyorum; ancak havuzun tamamen tükenmemesi için biraz altında kalıyorum. Diğer oyuncuların davranışları henüz bilinmiyor, bu nedenle agresif ama kontrollü bir başlangıç stratejisi benimsiyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep9,0.2,0.2,9,9.5000,11.0000,0.863636,"Havuz tam kapasitede ve yenilenme oranı güçlü. Ancak uzun vadeli sürdürülebilirliği fazla zorlamadan, makul düzeyde bir çekim yapıyorum. Maksimumun altında kalarak havuzun sağlıklı kalmasına katkı sağlıyorum, fakat kendi payımı da göz ardı etmiyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep10,0.2,0.2,10,9.5000,12.0000,0.791667,"Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazanımı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak mantıklı görünüyor."
